category_class	label	definition	synonyms	subsets	crossreferences	txgnn	medical_specialization	anatomical	is_pathogen_caused	is_cancer	is_glucose_dysfunction	tag_existing_treatment	tag_QALY_lost
MONDO:0005744	yolk sac tumor	A non-seminomatous malignant germ cell tumor composed of primitive germ cells. It is the most common malignant germ cell tumor in the pediatric population. It occurs in the infant testis, ovary, sacrococcygeal region, vagina, uterus, prostate, abdomen, liver, retroperitoneum, thorax, and pineal/third ventricle. The tumor mimics the yolk sac of the embryo and produces alpha-fetoprotein (AFP). Treatment includes: surgical resection, radiation, and chemotherapy. This tumor is very responsive to chemotherapy regimens that include cisplatinum.	yolk Sac tumour site unspecified; endodermal sinus tumour; yolk Sac tumour; yolk SAC tumor, malignant; hepatoid yolk sac tumor; yolk Sac tumor; hepatoid yolk sac tumour; yolk Sac tumor site unspecified; endodermal sinus neoplasm; endodermal sinus tumor; yolk sac tumor; yolk Sac neoplasm	mondo:rare; mondo:orphanet_rare; mondo:otar; mondo:nord_rare; mondo:ordo_disorder; mondo:gard_rare	EFO:0007252; MedDRA:10048251; DOID:1911; NCIT:C3011; Orphanet:876; SCTID:404081005; NANDO:2200069; ICDO:9071/3; GARD:348; UMLS:C0014145; ONCOTREE:BYST; MEDGEN:41782	cancer | adrenal_gland_disease | other | inflammatory_disease	pediatric | oncology	reproductive_system_disorder | other	FALSE	TRUE	FALSE	TRUE	HIGH
MONDO:0007921	yellow nail syndrome	A very rare syndromic disorder characterized by the variable triad of characteristic yellow nails, chronic respiratory manifestations, and primary lymphedema.	lymphedema with yellow nails; YNS; yellow nail syndrome	mondo:orphanet_rare; mondo:nord_rare; mondo:gard_rare; mondo:rare; mondo:ordo_disorder; mondo:otar; mondo:icd10_billable	ICD9:703.8; MEDGEN:113164; OMIM:153300; UMLS:C0221348; MESH:D056684; ICD10CM:L60.5; MedDRA:10048244; DOID:0050468; NCIT:C85238; EFO:1001452; NORD:1874; icd11.foundation:47812081; GARD:184; SCTID:400211001; Orphanet:662; ICD9:757.0	metabolic_disorder | inflammatory_disease | autoimmune_diseases	dermatology | genetics_and_genomics | pulmonology	liver_disorder | skin_disorder	FALSE	FALSE	FALSE	FALSE	MEDIUM
MONDO:0020502	yellow fever	Yellow fever (YF), caused by YF virus, is a zoonotic disease characterized by fever and constitutional symptoms, with the potential to progress to severe and fatal viral hemorrhagic fever with shock and multi-organ system failure.	bronze John; YF; Yellow fever virus disease or disorder; Yellow Jack; sylvatic yellow fever; urban yellow fever; Yellow fever Virus infection; Yellow fever, sylvan; Yellow fever virus caused disease or disorder; Yellow fever virus infectious disease; jungle yellow fever	mondo:ordo_disorder; mondo:nord_rare; mondo:orphanet_rare; mondo:rare; mondo:gard_rare	NORD:1873; MedDRA:10048240; DOID:9682; MESH:D015004; ICD9:060; GARD:7914; NCIT:C35547; Orphanet:99829; UMLS:C0043395; ICD9:060.9; icd11.foundation:383352795; MEDGEN:53112	inflammatory_disease | autoimmune_diseases	pediatric | hematology | hepatology	liver_disorder | immune_disorder	TRUE	FALSE	FALSE	TRUE	HIGH
MONDO:0800412	yakut short stature syndrome					metabolic_disorder|adrenal_gland_disease	genetics_and_genomics | endocrinology | pediatric | orthopaedic	endocrine_disorder | growth_disorder | bone_disorder	FALSE	FALSE	FALSE	FALSE	HIGH
MONDO:0010219	xylosidase deficiency		xylosidase deficiency		MESH:C564730; MEDGEN:336338; UMLS:C1848407; OMIM:278900	metabolic_disorder | neurodegenerative_disease	pediatric | genetics_and_genomics | hematology | other	joint_disorder | muscle_disorder	FALSE	FALSE	FALSE	FALSE	MEDIUM
MONDO:0957786	xerosis and growth failure with immune and pulmonary dysfunction syndrome				MEDGEN:1848919; UMLS:C5882692; OMIM:620510	autoimmune_diseases | inflammatory_disease | metabolic_disorder	allergy_and_immunology | pulmonology | pediatric | immunology	immune_disorder | lung_disorder	TRUE	FALSE	FALSE	FALSE	HIGH
MONDO:0000948	xerophthalmia	Dryness of the eye due to inadequate production of tears. Causes include vitamin A deficiency, Sjogren syndrome, rheumatoid arthritis, systemic lupus erythematosus, and scleroderma.	conjunctival xerosis		DOID:10138; MEDGEN:9620; SCTID:363677007; MESH:D014985; ICD9:375.15; UMLS:C0022575; NCIT:C34503	metabolic_disorder | autoimmune_diseases | inflammatory_disease	ophthalmology | pediatric	eye_disorder|skin_disorder|other	FALSE	FALSE	FALSE	TRUE	MEDIUM
MONDO:0016354	xeroderma pigmentosum-Cockayne syndrome complex	Xeroderma pigmentosum/Cockayne syndrome complex (XP/CS complex) is characterized by the cutaneous features of xeroderma pigmentosum (XP) together with the systemic and neurological features of Cockayne syndrome (CS).	XP/CS complex	mondo:orphanet_rare; mondo:rare; mondo:nord_rare; mondo:gard_rare; mondo:ordo_disorder; mondo:otar	UMLS:C4304411; MEDGEN:930080; Orphanet:220295; ICD10CM:Q82.1; icd11.foundation:2002862606; NCIT:C156031; GARD:17130	neurodegenerative_disease | cancer | autoimmune_diseases | inflammatory_disease	dermatology | genetics_and_genomics	skin_disorder | immune_disorder	FALSE	FALSE	FALSE	FALSE	VERY HIGH
MONDO:0800314	xeroderma pigmentosum, type G/Cockayne syndrome		XPG/CS	mondo:nord_rare; mondo:rare; mondo:gard_rare	UMLS:C1968561; MEDGEN:409618	metabolic_disorder | cancer | inflammatory_disease | autoimmune_diseases	genetics_and_genomics | dermatology | oncology | pediatric	skin_disorder | immune_disorder | eye_disorder	FALSE	FALSE	FALSE	FALSE	HIGH
MONDO:0800313	xeroderma pigmentosum, type F/Cockayne syndrome		XPF/CS	mondo:rare; mondo:gard_rare	MEDGEN:812895; UMLS:C3806565	cancer | metabolic_disorder | autoimmune_diseases | inflammatory_disease	genetics_and_genomics | dermatology | oncology | pediatric	skin_disorder | immune_disorder | eye_disorder	FALSE	FALSE	FALSE	TRUE	VERY HIGH
MONDO:0008690	xeroderma pigmentosum, autosomal dominant, mild		xeroderma pigmentosum, autosomal dominant, mild	mondo:nord_rare; mondo:gard_rare; mondo:rare	MESH:C565989; OMIM:194400; MEDGEN:395440; UMLS:C1860231	cancer | metabolic_disorder	dermatology | genetics_and_genomics | pediatric | oncology	immune_disorder | skin_disorder	FALSE	FALSE	FALSE	FALSE	MEDIUM
MONDO:0010214	xeroderma pigmentosum variant type	Xeroderma pigmentosum variant is a milder subtype of xeroderma pigmentosum (XP), a rare genetic photodermatosis characterized by severe sun sensitivity and an increased risk of skin cancer.	xeroderma pigmentosum with normal DNA repair rates; XPV; photosensitivity with defective DNA synthesis; xeroderma pigmentosum variant type	mondo:gard_rare; mondo:otar; mondo:rare; mondo:orphanet_rare; mondo:ordo_disorder; mondo:nord_rare; mondo:clingen	MEDGEN:376352; NCIT:C141367; UMLS:C1848410; Orphanet:90342; GARD:5630; OMIM:278750; DOID:0110847; MESH:C536766	cancer | genetic disorder	genetics_and_genomics | dermatology	skin_disorder | immune_disorder | eye_disorder	TRUE	FALSE	FALSE	TRUE	MEDIUM
MONDO:0010216	xeroderma pigmentosum group G	Any xeroderma pigmentosum in which the cause of the disease is a mutation in the ERCC5 gene.	XP-G; xeroderma pigmentosum group G; xeroderma pigmentosum, complementation group type G; xeroderma pigmentosum caused by mutation in ERCC5; xeroderma pigmentosum group type G; XPG; xeroderma pigmentosum, group G/Cockayne syndrome; xeroderma pigmentosum, group G; xeroderma pigmentosum VII; XP group G; ERCC5 xeroderma pigmentosum; XP7	mondo:gard_rare; mondo:otar; mondo:rare; mondo:nord_rare; mondo:clingen	SCTID:36454001; MEDGEN:75657; MESH:C562593; DOID:0110849; NCIT:C3969; OMIM:278780; GARD:5629; Orphanet:276267; UMLS:C0268141	neurodegenerative_disease|cancer	dermatology | genetics_and_genomics | oncology | pediatric	skin_disorder | immune_disorder | eye_disorder	FALSE	FALSE	FALSE	FALSE	VERY HIGH
MONDO:0010215	xeroderma pigmentosum group F	Any xeroderma pigmentosum in which the cause of the disease is a mutation in the ERCC4 gene.	xeroderma pigmentosum, group F; XP group F; XP, group F; XP-F; xeroderma pigmentosum group F; xeroderma pigmentosum caused by mutation in ERCC4; xeroderma pigmentosum group type F; XPF; XP6; ERCC4 xeroderma pigmentosum; xeroderma pigmentosum VI; xeroderma pigmentosum, complementation group type F	mondo:gard_rare; mondo:otar; mondo:rare; mondo:nord_rare; mondo:clingen	SCTID:42530008; OMIM:278760; MESH:C562592; DOID:0110848; MEDGEN:120612; NCIT:C3968; Orphanet:276264; GARD:5628; UMLS:C0268140	cancer | genetic disorder | DNA repair disorder | inherited disease	dermatology | genetics_and_genomics | oncology	immune_disorder | skin_disorder	FALSE	FALSE	FALSE	FALSE	VERY HIGH
MONDO:0010213	xeroderma pigmentosum group E	An autosomal recessive genetic disorder caused by mutations in the DDB2 gene. This disease exhibits the mildest degree of sun sensitivity of all xeroderma pigmentosum complementation groups, although individuals are at high risk for skin cancer.	XP5; XP group E; xeroderma pigmentosum group E; XP-E; xeroderma pigmentosum, complementation group type E; xeroderma pigmentosum V; xeroderma pigmentosum, group E, DDB-negative subtype; XPE; xeroderma pigmentosum group type E	mondo:gard_rare; mondo:otar; mondo:rare; mondo:nord_rare; mondo:clingen	UMLS:C1848411; MESH:C564732; OMIM:278740; SCTID:56048001; DOID:0110846; NCIT:C114771; Orphanet:276261; GARD:5627; MEDGEN:341219	cancer | autoimmune_diseases	dermatology | genetics_and_genomics | oncology	eye_disorder | skin_disorder	FALSE	FALSE	FALSE	FALSE	HIGH
MONDO:0010212	xeroderma pigmentosum group D	Any xeroderma pigmentosum in which the cause of the disease is a mutation in the ERCC2 gene.	xeroderma pigmentosum, group D; XP group D; xeroderma pigmentosum, complementation group type D; xeroderma pigmentosum group D; xeroderma pigmentosum VIII; XP-D; ERCC2 xeroderma pigmentosum; XPH; xeroderma pigmentosum caused by mutation in ERCC2; xeroderma pigmentosum group type D; XPD; XPDC; XP group H; XP8; xeroderma pigmentosum IV; XP4	mondo:clingen; mondo:gard_rare; mondo:otar; mondo:rare; mondo:nord_rare	NCIT:C3967; GARD:16452; SCTID:68637004; MEDGEN:75656; UMLS:C0268138; MESH:C562591; DOID:0110845; Orphanet:276258; OMIM:278730	cancer | genetic disorder	genetics_and_genomics | dermatology | oncology	skin_disorder | eye_disorder | immune_disorder	FALSE	FALSE	FALSE	FALSE	VERY HIGH
MONDO:0010211	xeroderma pigmentosum group C	An autosomal recessive inherited disorder caused by mutations in the XPC gene. This disease is characterized by increased sensitivity to sunlight with the development of carcinomas at an early age and is caused by a defect in nucleotide excision repair.	XP3; xeroderma pigmentosum, group C; XP group C; xeroderma pigmentosum, complementation group type C; XPCC; xeroderma pigmentosum group C; XP-C; xeroderma pigmentosum III; xeroderma pigmentosum group type C; XPC	mondo:clingen; mondo:gard_rare; mondo:otar; mondo:rare; mondo:nord_rare	SCTID:25784009; MESH:C567886; UMLS:C2752147; OMIM:278720; DOID:0110844; NCIT:C114770; GARD:5626; MEDGEN:416702; Orphanet:276255	cancer | genetic disorder is not in the list but xeroderma pigmentosum group c fits best into: cancer | genetic disorder is not in the list but xeroderma pigmentosum group c fits best into: cancer | genetic disorder is not in the list but xeroderma pigmentosum group c fits best into: cancer	dermatology | genetics_and_genomics | oncology	skin_disorder | immune_disorder | eye_disorder	FALSE	FALSE	FALSE	FALSE	VERY HIGH
MONDO:0012531	xeroderma pigmentosum group B	Any xeroderma pigmentosum in which the cause of the disease is a mutation in the ERCC3 gene.	xeroderma pigmentosum group B; XPB; ERCC3 xeroderma pigmentosum; XP group B; xeroderma pigmentosum group type B; XP-B; xeroderma pigmentosum caused by mutation in ERCC3; XP, Group B; xeroderma pigmentosum, group B; xeroderma pigmentosum, complementation group type B; XPBC	mondo:clingen; mondo:nord_rare; mondo:otar; mondo:rare; mondo:gard_rare	NCIT:C3966; GARD:5625; SCTID:1073003; MEDGEN:78643; OMIM:610651; DOID:0110850; Orphanet:276252; MESH:C562590; UMLS:C0268136	cancer | genetic disorder | autoimmune_diseases	dermatology | genetics_and_genomics | oncology | pediatric	immune_disorder skin_disorder	FALSE	FALSE	FALSE	TRUE	VERY HIGH
MONDO:0010210	xeroderma pigmentosum group A	Any xeroderma pigmentosum in which the cause of the disease is a mutation in the XPA gene.	XPA xeroderma pigmentosum; xeroderma pigmentosum complementation group A; xeroderma pigmentosum 1; xeroderma pigmentosum, group A; XP group A; xeroderma pigmentosum group A; XP1; XP-A; xeroderma pigmentosum caused by mutation in XPA; xeroderma pigmentosum, complementation group type a; xeroderma pigmentosum group type A; XPA	mondo:clingen; mondo:gard_rare; mondo:otar; mondo:rare; mondo:nord_rare	NCIT:C3965; UMLS:C0268135; SCTID:43477006; Orphanet:276249; MEDGEN:82775; DOID:0110843; GARD:5624; OMIM:278700	cancer | autoimmune_diseases | inflammatory_disease	genetics_and_genomics | dermatology	skin_disorder | eye_disorder | immune_disorder	FALSE	FALSE	FALSE	TRUE	VERY HIGH
MONDO:0019600	xeroderma pigmentosum	Xeroderma pigmentosum (XP) is a rare genodermatosis characterized by extreme sensitivity to ultraviolet (UV)-induced changes in the skin and eyes, and multiple skin cancers. It is subdivided into 8 complementation groups, according to the affected gene: classical XP (XPA to XPG) and XP variant (XPV).	XP; melanosis lenticularis progressiva; xeroderma of Kaposi; xeroderma pigmentosum syndrome; Kaposi dermatosis; atrophoderma pigmentosum; pigmented epitheliomatosis; angioma pigmentosum atrophicum; Kaposi disease	mondo:icd10_billable; mondo:otar; mondo:ordo_disorder; mondo:gard_rare; mondo:rare; mondo:orphanet_rare; mondo:nord_rare	NANDO:1200608; DOID:0050427; ICD10CM:Q82.1; icd11.foundation:1243068849; MedDRA:10048220; NCIT:C3452; MEDGEN:21943; NORD:1870; SCTID:44600005; NANDO:2100286; UMLS:C0043346; MESH:D014983; Orphanet:910; GARD:7910; NANDO:2201002	cancer | autoimmune_diseases | inflammatory_disease	dermatology | genetics_and_genomics	skin_disorder | immune_disorder	FALSE	FALSE	FALSE	FALSE	VERY HIGH
MONDO:0004718	xeroderma of eyelid				icd11.foundation:144401595; MEDGEN:509834; SCTID:55846006; DOID:9140; UMLS:C0155179; ICD9:373.33	autoimmune_diseases | inflammatory_disease | cancer	dermatology | ophthalmology	eye_disorder | skin_disorder	FALSE	FALSE	FALSE	FALSE	MEDIUM
MONDO:0015535	xanthoma disseminatum		Montgomery syndrome	mondo:orphanet_rare; mondo:nord_rare; mondo:ordo_disorder; mondo:gard_rare; mondo:rare	MEDGEN:12178; SCTID:399970005; UMLS:C0043322; MedDRA:10052575; icd11.foundation:1785140754; GARD:13186; Orphanet:158003	autoimmune_diseases | inflammatory_disease	dermatology | other	skin_disorder | immune_disorder | liver_disorder	FALSE	FALSE	FALSE	FALSE	LOW
MONDO:0027091	xanthogranulomatous sialadenitis		sialadenitis, xanthogranulomatous		UMLS:C2931315; MESH:C536763; MEDGEN:444028	autoimmune_diseases|inflammatory_disease	otolaryngology | dermatology	ear_disorder | lymphatic_disorder	TRUE	FALSE	FALSE	FALSE	MEDIUM
MONDO:0007022	xanthogranulomatous pyelonephritis	Chronic, destructive infection of the kidney characterized by lipid-laden macrophages in the setting of obstruction secondary to infected renal stones, most commonly caused by Proteus or Escherichia coli.	xanthogranulomatous pyelonephritis	mondo:otar	MedDRA:10074389; EFO:1001244; ICD9:582.89; MEDGEN:19591; NCIT:C123038; MESH:D011705; UMLS:C0034188; DOID:11401; SCTID:38898003	autoimmune_diseases|inflammatory_disease	renal medicine | urology	kidney_disorder | urinary_tract_disorder	TRUE	FALSE	FALSE	TRUE	HIGH
MONDO:0004875	xanthogranulomatous cholecystitis	Cholecystitis that is characterized by nodules containing lipid.			UMLS:C1337035; icd11.foundation:294033251; MEDGEN:235004; MESH:C536762; NCIT:C35792; SCTID:448286002; DOID:9766	inflammatory_disease | autoimmune_diseases | cancer	gastroenterology | hepatology | pediatrics	liver_disorder | biliary_disorder | upper_gastrointestinal_disorder	FALSE	FALSE	FALSE	FALSE	MEDIUM
MONDO:0024617	xanthogranuloma		xanthogranuloma	mondo:matrix_included; mondo:rare; mondo:gard_rare	SCTID:189099001; UMLS:C5234857; MEDGEN:1717859; NCIT:C27302	cancer | inflammatory_disease	dermatology | pulmonology | oncology	blood_bone_marrow_disorder|skin_disorder	FALSE	FALSE	FALSE	FALSE	LOW
MONDO:0011346	xanthinuria type II	Type II xanthinuria, a type of classical xanthinuria, is a rare autosomal recessive disorder of purine metabolism characterized by the deficiency of both xanthine dehydrogenase and aldehyde oxidase, leading to the formation of urinary xanthine urolithiasis and leading, in some patients, to kidney failure. Other less common manifestations include arthropathy, myopathy and duodenal ulcer, while some patients remain asymptomatic.	XDH and AOX dual deficiency; XAN2; xanthine dehydrogenase and aldehyde oxidase, combined deficiency of; xanthine dehydrogenase and xanthine aldehyde oxidase dual deficiency	mondo:ordo_subtype_of_a_disorder; mondo:rare; mondo:clingen; mondo:nord_rare; mondo:otar; mondo:ordo_etiological_subtype; mondo:gard_rare	MESH:C566358; Orphanet:93602; OMIM:603592; DOID:0070453; MEDGEN:350953; UMLS:C1863688; GARD:5620	metabolic_disorder | kidney_disease	renal medicine | genetics_and_genomics	kidney_disorder | urinary_tract_disorder	FALSE	FALSE	FALSE	FALSE	HIGH
MONDO:0010209	xanthinuria type I	A rare autosomal recessive disorder of purine metabolism characterized by the isolated deficiency of xanthine dehydrogenase, causing hyperxanthinemia with low or absent uric acid and xanthinuria, leading to urolithiasis, hematuria, renal colic and urinary tract infections, while some patients are asymptomatic and others suffer from kidney failure. Less common manifestations include arthropathy, myopathy and duodenal ulcer.	xanthinuria, type I; xanthinuria, type 1; XAN1; xanthinuria type 1; xanthinuria type I; isolated xanthine oxidase deficiency	mondo:ordo_subtype_of_a_disorder; mondo:ordo_etiological_subtype; mondo:nord_rare; mondo:rare; mondo:otar; mondo:gard_rare	Orphanet:93601; OMIM:278300; MESH:C562584; SCTID:72682008; GARD:5621; MEDGEN:82771; DOID:0070452; UMLS:C0268118	metabolic_disorder | kidney_disease	genetics_and_genomics | renal medicine	kidney_disorder | urinary_tract_disorder	FALSE	FALSE	FALSE	FALSE	HIGH
MONDO:0010208	wrinkly skin syndrome	A type of cutis laxa that is characterized by wrinkling of the skin of the dorsum of the hands and feet, an increased number of palmar and plantar creases, wrinkled abdominal skin, multiple skeletal abnormalities (joint laxity and congenital hip dislocation), late closing of the anterior fontanel, microcephaly, pre- and postnatal growth retardation, developmental delay and facial dysmorphism (a broad nasal bridge, downslanting palpebral fissures and hypertelorism).	WSS; wrinkly skin syndrome; wrinkled skin syndrome	mondo:ordo_subtype_of_a_disorder; mondo:nord_rare; mondo:otar; mondo:rare; mondo:gard_rare	ICD9:259.8; DOID:0112171; icd11.foundation:638767040; GARD:273; UMLS:C0406587; SCTID:238875009; OMIM:278250; Orphanet:2834; MESH:C536750; MEDGEN:98030	metabolic_disorder | skin_condition	dermatology|genetics_and_genomics	skin_disorder | liver_disorder	FALSE	FALSE	FALSE	FALSE	HIGH
MONDO:0015622	wound myiasis		traumatic myiasis	mondo:nord_rare; mondo:gard_rare; mondo:rare; mondo:icd10_billable; mondo:orphanet_rare; mondo:ordo_disorder	SCTID:240880004; GARD:20065; MEDGEN:576044; Orphanet:165955; icd11.foundation:894204357; UMLS:C0344061; ICD10CM:B87.1; ICD9:998.89	inflammatory_disease | wound_infection | other	dermatology | wound myiasis is a type of infection so also consider: | infectious diseases, however this option is not listed, leaving dermatology as the most fitting category.	skin_disorder|nose_disorder	TRUE	FALSE	FALSE	TRUE	MEDIUM
MONDO:0015803	wound botulism	Botulism that is caused by toxin that is produced in a wound contaminated with Clostridium botulinum.	inoculation botulism; skin infectious botulism; cutaneous toxin-mediated botulism; cutaneous infectious botulism; skin toxin-mediated botulism	mondo:gard_rare; mondo:nord_rare; mondo:ordo_subtype_of_a_disorder; mondo:rare; mondo:ordo_etiological_subtype; mondo:icd10_billable	ICD10CM:A48.52; GARD:20149; SCTID:398530003; MEDGEN:224933; UMLS:C1306794; ICD9:040.42; NCIT:C128342; DOID:0050353; icd11.foundation:1674998448; Orphanet:178475	neurodegenerative_disease|inflammatory_disease	neurology | otolaryngology | pediatric	muscle_disorder | nervous_system_disorder	TRUE	FALSE	FALSE	TRUE	HIGH
MONDO:0011501	wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia	Skeletal dysplasia with wormian bone-multiple fractures-dentinogenesis imperfecta is a skeletal disorder, reported in three patients to date, characterized clinically by multiple fractures, wormian bones of the skull, dentinogenesis imperfecta and facial dysmorphism (hypertelorism, periorbital fullness). Although the signs are very similar to osteogenesis imperfecta, characteristic cortical defects in the absence of osteopenia and collagen abnormalities are considered to be distinctive. There have been no further descriptions in the literature since 1999.	Suarez-Stickler syndrome	mondo:orphanet_rare; mondo:nord_rare; mondo:otar; mondo:gard_rare; mondo:ordo_disorder; mondo:rare; mondo:ordo_malformation_syndrome	MEDGEN:387969; Orphanet:166277; UMLS:C1858032; MESH:C565734; GARD:10290; OMIM:604922	metabolic_disorder | skeletal_dysplasia	genetics_and_genomics|pediatric|rheumatology|orthopaedic	bone_disorder|skeletal_dysplasia|teeth_disorder	FALSE	FALSE	FALSE	FALSE	HIGH
MONDO:0014492	wooly hair-palmoplantar keratoderma syndrome	Woolly hair-palmoplantar keratoderma syndrome is a very rare, hereditary epidermal disorder characterized by hypotrichosis/wooly scalp hair, sparse body hair, eyelashes and eyebrows, leukonychia, and striate palmoplantar keratoderma (more severe on the soles than the palms), which progressively worsens with age. Pseudo ainhum of the fifth toes was also reported. Although wooly hair-palmoplantar keratoderma syndrome shares clinical similarities with both Naxos disease and Carvajal syndrome, cardiomyopathy is notably absent.	KWWH type IV; keratoderma with woolly hair type IV; wooly hair-palmoplantar hyperkeratosis syndrome; keratoderma with wooly hair type IV; woolly hair-palmoplantar hyperkeratosis syndrome	mondo:nord_rare; mondo:rare; mondo:ordo_disorder; mondo:gard_rare; mondo:orphanet_rare	DOID:0070554; SCTID:764108000; MEDGEN:863639; Orphanet:420686; UMLS:C4015202; GARD:17697; OMIM:616099	metabolic_disorder|autoimmune_diseases	dermatology | genetics_and_genomics	skin_disorder | joint_disorder | muscle_disorder	FALSE	FALSE	FALSE	FALSE	MEDIUM
