category_class	label	harrisons_view	matrix_txgnn_grouping	mondo_top_grouping
MONDO:0000110	bifid nose	disorder_of_development_or_morphogenesis	other	musculoskeletal_system_disorder|disorder_of_development_or_morphogenesis|otorhinolaryngologic_disease
MONDO:0000111	camptodactyly syndrome, Guadalajara	hereditary_disease	other	hereditary_disease
MONDO:0000114	cerebelloparenchymal disorder	hereditary_disease	other	hereditary_disease
MONDO:0000115	Chiari malformation	hereditary_disease	other	hereditary_disease
MONDO:0000118	reticulate pigment disorder	hereditary_disease	other	integumentary_system_disorder|hereditary_disease
MONDO:0000119	congenital heart defects, multiple types	disorder_of_development_or_morphogenesis	cardiovascular_disorder	cardiovascular_disorder|disorder_of_development_or_morphogenesis
MONDO:0000127	geleophysic dysplasia	hereditary_disease	other	hereditary_disease|musculoskeletal_system_disorder
MONDO:0000128	giant axonal neuropathy	hereditary_disease	other	hereditary_disease|nervous_system_disorder
MONDO:0000129	glutaric aciduria	metabolic_disease	metabolic_disease	metabolic_disease
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	hereditary_disease	other	hereditary_disease|premature_aging_syndrome
MONDO:0000136	keratosis follicularis spinulosa decalvans	disorder_of_development_or_morphogenesis|metabolic_disease|hereditary_disease	metabolic_disease	hereditary_disease|integumentary_system_disorder|metabolic_disease|disorder_of_development_or_morphogenesis
MONDO:0000137	leukoencephalopathy, megalencephalic	hereditary_disease	other	hereditary_disease|nervous_system_disorder
MONDO:0000138	metaphyseal chondrodysplasia	disorder_of_development_or_morphogenesis|hereditary_disease	other	hereditary_disease|disorder_of_development_or_morphogenesis|musculoskeletal_system_disorder
MONDO:0000141	mosaic variegated aneuploidy syndrome	syndromic_disease|hereditary_disease|cancer_or_benign_tumor	cancer_or_benign_tumor	hereditary_disease|cancer_or_benign_tumor|chromosomal_disorder|syndromic_disease
MONDO:0000147	polyposis	cancer_or_benign_tumor	cancer_or_benign_tumor	cancer_or_benign_tumor
MONDO:0000148	pulmonary fibrosis and/or bone marrow failure, telomere-related	hereditary_disease	other	hereditary_disease|respiratory_system_disorder|premature_aging_syndrome
MONDO:0000151	symphalangism	other	other	musculoskeletal_system_disorder
MONDO:0000152	thiamine-responsive dysfunction syndrome	metabolic_disease|hereditary_disease	metabolic_disease	metabolic_disease|hereditary_disease
MONDO:0000153	transposition of the great arteries	disorder_of_development_or_morphogenesis	cardiovascular_disorder	cardiovascular_disorder|disorder_of_development_or_morphogenesis
MONDO:0000155	triglyceride storage disease	metabolic_disease|hereditary_disease	metabolic_disease	metabolic_disease|hereditary_disease
MONDO:0000156	trigonocephaly	disorder_of_development_or_morphogenesis	other	disorder_of_development_or_morphogenesis|musculoskeletal_system_disorder
MONDO:0000158	developmental dysplasia of the hip	disorder_of_development_or_morphogenesis|hereditary_disease	other	hereditary_disease|disorder_of_development_or_morphogenesis|musculoskeletal_system_disorder
MONDO:0000159	bone marrow failure syndrome	hereditary_disease	other	hereditary_disease|immune_system_disorder|hematologic_disorder|musculoskeletal_system_disorder
MONDO:0000160	epilepsy, familial adult myoclonic	hereditary_disease	other	hereditary_disease|nervous_system_disorder
MONDO:0000166	encephalopathy, acute, infection-induced	hereditary_disease	other	nervous_system_disorder|acute_disease|post_infectious_disorder|hereditary_disease
MONDO:0000167	Huntington disease and related disorders	hereditary_disease	neurodegenerative_disease	nervous_system_disorder|hereditary_disease
MONDO:0000170	microphthalmia, isolated, with coloboma	hereditary_disease	other	disorder_of_orbital_region|disorder_of_visual_system|hereditary_disease
MONDO:0000171	muscular dystrophy-dystroglycanopathy, type A	hereditary_disease	other	musculoskeletal_system_disorder|nervous_system_disorder|hereditary_disease
MONDO:0000172	muscular dystrophy-dystroglycanopathy, type B	hereditary_disease	other	musculoskeletal_system_disorder|nervous_system_disorder|hereditary_disease
MONDO:0000173	muscular dystrophy-dystroglycanopathy, type C	hereditary_disease	other	musculoskeletal_system_disorder|nervous_system_disorder|hereditary_disease
MONDO:0000179	Neu-Laxova syndrome	metabolic_disease|hereditary_disease|syndromic_disease|disorder_of_development_or_morphogenesis	metabolic_disease	integumentary_system_disorder|nervous_system_disorder|syndromic_disease|hereditary_disease|metabolic_disease|disorder_of_development_or_morphogenesis
MONDO:0000181	microcephaly and chorioretinopathy	disorder_of_development_or_morphogenesis|hereditary_disease|inflammatory_disease	other	nervous_system_disorder|disorder_of_orbital_region|hereditary_disease|disorder_of_visual_system|disorder_of_development_or_morphogenesis|inflammatory_disease
MONDO:0000182	congenital myasthenic syndrome with tubular aggregates	hereditary_disease|syndromic_disease	other	nervous_system_disorder|syndromic_disease|hereditary_disease
MONDO:0000188	GLUT1 deficiency syndrome	hereditary_disease|metabolic_disease	metabolic_disease	metabolic_disease|hereditary_disease|nervous_system_disorder
MONDO:0000190	ventricular fibrillation	other	cardiovascular_disorder	cardiovascular_disorder
MONDO:0000192	polyglucosan body myopathy	hereditary_disease	other	musculoskeletal_system_disorder|hereditary_disease
MONDO:0000193	cortisone reductase deficiency	endocrine_system_disorder|metabolic_disease|hereditary_disease	endocrine_system_disorder|metabolic_disease	metabolic_disease|reproductive_system_disorder|hereditary_disease|endocrine_system_disorder
MONDO:0000200	Zimmermann-Laband syndrome	hereditary_disease	other	hereditary_disease
MONDO:0000208	microcephaly, short stature, and impaired glucose metabolism 1	hereditary_disease	other	hereditary_disease
MONDO:0000209	prenatal-onset spinal muscular atrophy with congenital bone fractures	disorder_of_development_or_morphogenesis|hereditary_disease	neurodegenerative_disease	disorder_of_development_or_morphogenesis|hereditary_disease|nervous_system_disorder
MONDO:0000210	thiopurine metabolic disease	metabolic_disease|hereditary_disease	metabolic_disease	hereditary_disease|metabolic_disease
MONDO:0000211	striatal degeneration, autosomal dominant	metabolic_disease|hereditary_disease	neurodegenerative_disease|metabolic_disease	hereditary_disease|nervous_system_disorder|metabolic_disease
MONDO:0000212	hypercalcemia, infantile	metabolic_disease|hereditary_disease	metabolic_disease	hereditary_disease|metabolic_disease
MONDO:0000213	autoimmune disease, multisystem, infantile-onset	hereditary_disease	autoimmune_disease	immune_system_disorder|hereditary_disease
MONDO:0000214	hypermanganesemia with dystonia	hereditary_disease|metabolic_disease	metabolic_disease	hereditary_disease|metabolic_disease
MONDO:0000222	seminal vesicle acute gonorrhea	inflammatory_disease|endocrine_system_disorder	endocrine_system_disorder|infectious_disease	infectious_disease|inflammatory_disease|acute_disease|endocrine_system_disorder|reproductive_system_disorder
MONDO:0000224	acquired carbohydrate metabolism disease	metabolic_disease	metabolic_disease	metabolic_disease
MONDO:0000225	human monocytic ehrlichiosis	other	infectious_disease	hematologic_disorder|infectious_disease|immune_system_disorder
MONDO:0000226	mineral metabolism disease	metabolic_disease	metabolic_disease	metabolic_disease
MONDO:0000227	African tick-bite fever	other	infectious_disease	infectious_disease
MONDO:0000229	Indian tick typhus	other	infectious_disease	infectious_disease
MONDO:0000230	Israeli tick typhus	other	infectious_disease	infectious_disease
MONDO:0000231	Far eastern spotted fever	other	infectious_disease	infectious_disease
MONDO:0000232	Flinders island spotted fever	other	infectious_disease	infectious_disease
MONDO:0000233	Japanese spotted fever	other	infectious_disease	infectious_disease
MONDO:0000234	Rickettsia parkeri spotted fever	other	infectious_disease	infectious_disease
MONDO:0000236	oropharyngeal anthrax	other	infectious_disease	otorhinolaryngologic_disease|respiratory_system_disorder|infectious_disease|digestive_system_disorder
MONDO:0000239	adiaspiromycosis	other	infectious_disease	respiratory_system_disorder|infectious_disease
MONDO:0000240	invasive aspergillosis	other	infectious_disease	respiratory_system_disorder|infectious_disease
MONDO:0000241	Keshan disease	nutritional_disorder	cardiovascular_disorder|infectious_disease	nutritional_disorder|cardiovascular_disorder|musculoskeletal_system_disorder|infectious_disease
MONDO:0000242	tinea barbae	inflammatory_disease	infectious_disease	inflammatory_disease|integumentary_system_disorder|infectious_disease
MONDO:0000243	ectothrix infectious disease	inflammatory_disease	infectious_disease	inflammatory_disease|integumentary_system_disorder|infectious_disease
MONDO:0000244	endothrix infectious disease	inflammatory_disease	infectious_disease	inflammatory_disease|integumentary_system_disorder|infectious_disease
MONDO:0000245	tinea imbricata	inflammatory_disease	infectious_disease	inflammatory_disease|integumentary_system_disorder|infectious_disease
MONDO:0000248	dengue shock syndrome	other	infectious_disease	infectious_disease
MONDO:0000249	secretory diarrhea	other	other	digestive_system_disorder
MONDO:0000250	osmotic diarrheal disease	other	other	digestive_system_disorder
MONDO:0000251	diarrheal disease secondary to altered bowel motility	other	other	digestive_system_disorder
MONDO:0000252	inflammatory diarrhea	inflammatory_disease	other	digestive_system_disorder|inflammatory_disease
MONDO:0000253	piedra	other	infectious_disease	infectious_disease|integumentary_system_disorder
MONDO:0000254	cutaneous mycosis	other	infectious_disease	infectious_disease|integumentary_system_disorder
MONDO:0000255	subcutaneous mycosis	other	infectious_disease	infectious_disease|integumentary_system_disorder
MONDO:0000256	systemic mycosis	other	infectious_disease	infectious_disease
MONDO:0000257	acute diarrhea	other	other	acute_disease|digestive_system_disorder
MONDO:0000259	asymptomatic dengue	other	infectious_disease	infectious_disease
MONDO:0000261	adenoiditis	inflammatory_disease	other	inflammatory_disease|respiratory_system_disorder|otorhinolaryngologic_disease|immune_system_disorder
MONDO:0000262	otomycosis	inflammatory_disease	infectious_disease	inflammatory_disease|otorhinolaryngologic_disease|post_infectious_disorder|integumentary_system_disorder|infectious_disease|auditory_system_disorder
MONDO:0000263	laryngotracheitis	inflammatory_disease	infectious_disease	respiratory_system_disorder|inflammatory_disease|infectious_disease
MONDO:0000265	aspiration pneumonia	other	other	respiratory_system_disorder
MONDO:0000266	pulmonary aspergilloma	other	infectious_disease	respiratory_system_disorder|infectious_disease
MONDO:0000270	lower respiratory tract disorder	other	other	respiratory_system_disorder
MONDO:0000271	tuberculous salpingitis	inflammatory_disease	infectious_disease	reproductive_system_disorder|infectious_disease|inflammatory_disease
MONDO:0000273	Kunjin virus infectous disease	inflammatory_disease	infectious_disease	infectious_disease|nervous_system_disorder|inflammatory_disease|acute_disease
MONDO:0000276	Powassan encephalitis	inflammatory_disease	infectious_disease	infectious_disease|nervous_system_disorder|inflammatory_disease|acute_disease
MONDO:0000282	Whitewater Arroyo hemorrhagic fever	other	infectious_disease	infectious_disease
MONDO:0000283	Hantavirus hemorrhagic fever with renal syndrome, Seoul virus type	other	infectious_disease	urinary_system_disorder|infectious_disease
MONDO:0000284	Hantavirus hemorrhagic fever with renal syndrome, Puumala virus type	other	infectious_disease	urinary_system_disorder|infectious_disease
MONDO:0000286	Epstein-Barr virus hepatitis	inflammatory_disease|endocrine_system_disorder	infectious_disease|endocrine_system_disorder	endocrine_system_disorder|integumentary_system_disorder|digestive_system_disorder|infectious_disease|inflammatory_disease
MONDO:0000288	polycystic echinococcosis	endocrine_system_disorder	endocrine_system_disorder|infectious_disease	endocrine_system_disorder|digestive_system_disorder|infectious_disease
MONDO:0000290	primary amebic meningoencephalitis	inflammatory_disease	infectious_disease	infectious_disease|acute_disease|nervous_system_disorder|inflammatory_disease
MONDO:0000291	granulomatous amebic encephalitis	inflammatory_disease	infectious_disease	infectious_disease|acute_disease|nervous_system_disorder|inflammatory_disease
MONDO:0000292	philophthalmiasis	other	infectious_disease	infectious_disease
MONDO:0000293	coenurosis	other	infectious_disease	digestive_system_disorder|infectious_disease
MONDO:0000294	mesocestoidiasis	other	infectious_disease	infectious_disease
MONDO:0000295	acanthocephaliasis	other	infectious_disease	infectious_disease
MONDO:0000297	baylisascariasis	other	infectious_disease	infectious_disease
MONDO:0000298	dioctophymiasis	other	infectious_disease	infectious_disease
MONDO:0000299	thelaziasis	other	infectious_disease	infectious_disease
MONDO:0000301	ophthalmomyiasis	other	infectious_disease	infectious_disease|integumentary_system_disorder
MONDO:0000302	basidiobolomycosis	other	infectious_disease	infectious_disease
MONDO:0000303	conidiobolomycosis	inflammatory_disease	infectious_disease	infectious_disease|integumentary_system_disorder|inflammatory_disease
MONDO:0000304	penicilliosis	other	infectious_disease	infectious_disease
MONDO:0000306	trichosporonosis	other	infectious_disease	infectious_disease
MONDO:0000307	parasitic Ichthyosporea infectious disease	other	infectious_disease	infectious_disease
MONDO:0000308	primary systemic mycosis	other	infectious_disease	infectious_disease
MONDO:0000309	aniseikonia	other	other	disorder_of_visual_system|disorder_of_orbital_region
MONDO:0000310	Alkhurma hemorrhagic fever	other	infectious_disease	infectious_disease
MONDO:0000313	hypophosphatemia	metabolic_disease	metabolic_disease	metabolic_disease
MONDO:0000314	primary bacterial infectious disease	other	infectious_disease	infectious_disease
MONDO:0000315	commensal bacterial infectious disease	other	infectious_disease	infectious_disease
MONDO:0000316	opportunistic bacterial infectious disease	other	infectious_disease	infectious_disease
MONDO:0000320	glandular tularemia	other	infectious_disease	infectious_disease|immune_system_disorder
MONDO:0000321	typhoidal tularemia	other	infectious_disease	infectious_disease
MONDO:0000327	Buruli ulcer disease	other	infectious_disease	infectious_disease
MONDO:0000328	hyperphosphatemia	metabolic_disease	metabolic_disease	metabolic_disease
MONDO:0000330	endemic typhus	other	infectious_disease	infectious_disease
MONDO:0000331	Rickettsia helvetica spotted fever	other	infectious_disease	infectious_disease
MONDO:0000332	sennetsu fever	other	infectious_disease	infectious_disease
MONDO:0000333	early congenital syphilis	disorder_of_development_or_morphogenesis	infectious_disease	infectious_disease|reproductive_system_disorder|disorder_of_development_or_morphogenesis
MONDO:0000334	multinodular goiter	endocrine_system_disorder|hereditary_disease	endocrine_system_disorder	endocrine_system_disorder|hereditary_disease
MONDO:0000335	parenchymatous neurosyphilis	other	infectious_disease	infectious_disease|reproductive_system_disorder
MONDO:0000336	meningovascular neurosyphilis	other	infectious_disease	infectious_disease|reproductive_system_disorder
MONDO:0000337	exanthema subitum	other	infectious_disease	infectious_disease|integumentary_system_disorder
MONDO:0000338	variola major infectious disease	other	infectious_disease	infectious_disease|integumentary_system_disorder
MONDO:0000339	spinal polio	inflammatory_disease	neurodegenerative_disease|infectious_disease	infectious_disease|nervous_system_disorder|inflammatory_disease|acute_disease
MONDO:0000340	bulbospinal polio	inflammatory_disease	infectious_disease|neurodegenerative_disease	acute_disease|infectious_disease|nervous_system_disorder|inflammatory_disease
MONDO:0000341	paralytic poliomyelitis	inflammatory_disease	infectious_disease|neurodegenerative_disease	acute_disease|infectious_disease|nervous_system_disorder|inflammatory_disease
MONDO:0000342	O'nyong'nyong fever	other	infectious_disease	infectious_disease
MONDO:0000343	Barmah forest virus disease	other	infectious_disease	infectious_disease
MONDO:0000344	Ross river fever	other	infectious_disease	infectious_disease
MONDO:0000345	Oropouche fever	other	infectious_disease	infectious_disease
MONDO:0000346	Hantavirus hemorrhagic fever with renal syndrome, Dobrava-Belgrade virus type	other	infectious_disease	urinary_system_disorder|infectious_disease
MONDO:0000351	disorder of methionine catabolism	metabolic_disease|hereditary_disease	metabolic_disease	hereditary_disease|metabolic_disease
MONDO:0000355	Ullrich congenital muscular dystrophy	hereditary_disease	other	hereditary_disease|musculoskeletal_system_disorder|nervous_system_disorder
MONDO:0000358	orofacial cleft	hereditary_disease	other	hereditary_disease|musculoskeletal_system_disorder
MONDO:0000359	spondylocostal dysostosis	disorder_of_development_or_morphogenesis|hereditary_disease	other	disorder_of_development_or_morphogenesis|hereditary_disease|musculoskeletal_system_disorder
MONDO:0000363	gummatous syphilis	other	infectious_disease	reproductive_system_disorder|infectious_disease
MONDO:0000365	primary congenital glaucoma	hereditary_disease	other	disorder_of_visual_system|hereditary_disease|disorder_of_orbital_region
MONDO:0000367	taeniasis	other	infectious_disease	infectious_disease|digestive_system_disorder
MONDO:0000368	extrapulmonary tuberculosis	other	infectious_disease	infectious_disease
MONDO:0000369	abdominal tuberculosis	other	infectious_disease	infectious_disease
MONDO:0000371	oral cavity carcinoma in situ	cancer_or_benign_tumor	cancer_or_benign_tumor	mouth_disorder|cancer_or_benign_tumor|digestive_system_disorder
MONDO:0000372	pharynx carcinoma in situ	cancer_or_benign_tumor	cancer_or_benign_tumor	cancer_or_benign_tumor|digestive_system_disorder
MONDO:0000373	gall bladder carcinoma in situ	cancer_or_benign_tumor	cancer_or_benign_tumor	cancer_or_benign_tumor|digestive_system_disorder
MONDO:0000374	bile duct carcinoma in situ	cancer_or_benign_tumor|endocrine_system_disorder	cancer_or_benign_tumor|endocrine_system_disorder	endocrine_system_disorder|cancer_or_benign_tumor|digestive_system_disorder
MONDO:0000375	bronchus carcinoma in situ	cancer_or_benign_tumor	cancer_or_benign_tumor	respiratory_system_disorder|cancer_or_benign_tumor
MONDO:0000376	respiratory system cancer	cancer_or_benign_tumor	cancer_or_benign_tumor	respiratory_system_disorder|cancer_or_benign_tumor
MONDO:0000377	malignant Leydig cell tumor	cancer_or_benign_tumor	cancer_or_benign_tumor	reproductive_system_disorder|cancer_or_benign_tumor
MONDO:0000378	malignant Sertoli cell tumor	cancer_or_benign_tumor	cancer_or_benign_tumor	reproductive_system_disorder|cancer_or_benign_tumor
MONDO:0000379	malignant Sertoli-Leydig cell tumor	cancer_or_benign_tumor|endocrine_system_disorder	cancer_or_benign_tumor|endocrine_system_disorder	endocrine_system_disorder|reproductive_system_disorder|cancer_or_benign_tumor
MONDO:0000380	paranasal sinus carcinoma	cancer_or_benign_tumor	cancer_or_benign_tumor	nervous_system_disorder|otorhinolaryngologic_disease|connective_tissue_disorder|musculoskeletal_system_disorder|respiratory_system_disorder|cancer_or_benign_tumor
MONDO:0000381	infiltrating renal pelvis transitional cell carcinoma	cancer_or_benign_tumor	cancer_or_benign_tumor	urinary_system_disorder|cancer_or_benign_tumor
MONDO:0000382	respiratory system benign neoplasm	cancer_or_benign_tumor	cancer_or_benign_tumor	respiratory_system_disorder|cancer_or_benign_tumor
MONDO:0000383	benign reproductive system neoplasm	cancer_or_benign_tumor	cancer_or_benign_tumor	reproductive_system_disorder|cancer_or_benign_tumor
MONDO:0000384	bladder benign neoplasm	cancer_or_benign_tumor	cancer_or_benign_tumor	urinary_system_disorder|cancer_or_benign_tumor
MONDO:0000385	benign digestive system neoplasm	cancer_or_benign_tumor	cancer_or_benign_tumor	digestive_system_disorder|cancer_or_benign_tumor
MONDO:0000386	digestive system neuroendocrine tumor, grade 1/2	endocrine_system_disorder|cancer_or_benign_tumor	cancer_or_benign_tumor|endocrine_system_disorder	digestive_system_disorder|cancer_or_benign_tumor|endocrine_system_disorder
MONDO:0000387	hypochromic microcytic anemia	other	anemia	hematologic_disorder
MONDO:0000389	atelosteogenesis	hereditary_disease|disorder_of_development_or_morphogenesis	other	musculoskeletal_system_disorder|disorder_of_development_or_morphogenesis|hereditary_disease
MONDO:0000390	vitelliform macular dystrophy	hereditary_disease	psychiatric_disorder	hereditary_disease|disorder_of_visual_system|nervous_system_disorder|disorder_of_orbital_region|psychiatric_disorder
MONDO:0000393	partial fetal alcohol syndrome	other	psychiatric_disorder	nervous_system_disorder|psychiatric_disorder
MONDO:0000395	alcohol-related birth defect	other	psychiatric_disorder	nervous_system_disorder|psychiatric_disorder
MONDO:0000396	spastic cerebral palsy	other	other	nervous_system_disorder
MONDO:0000397	ataxic cerebral palsy	other	other	nervous_system_disorder
MONDO:0000400	mixed cerebral palsy	other	other	nervous_system_disorder
MONDO:0000402	small cell carcinoma	cancer_or_benign_tumor|endocrine_system_disorder	endocrine_system_disorder|cancer_or_benign_tumor	endocrine_system_disorder|cancer_or_benign_tumor
MONDO:0000405	anal canal cancer	cancer_or_benign_tumor	cancer_or_benign_tumor	cancer_or_benign_tumor|digestive_system_disorder
MONDO:0000407	malignant pleural solitary fibrous tumor	cancer_or_benign_tumor	cancer_or_benign_tumor	connective_tissue_disorder|cancer_or_benign_tumor|respiratory_system_disorder
MONDO:0000408	fetal alcohol spectrum disorder	other	psychiatric_disorder	psychiatric_disorder|nervous_system_disorder
MONDO:0000409	chorioamnionitis	inflammatory_disease|obstetric_disorder	infectious_disease	obstetric_disorder|reproductive_system_disorder|inflammatory_disease|infectious_disease
MONDO:0000410	funisitis	inflammatory_disease|obstetric_disorder	other	inflammatory_disease|obstetric_disorder
MONDO:0000411	electroclinical syndrome	other	other	nervous_system_disorder
MONDO:0000412	neonatal period electroclinical syndrome	other	other	nervous_system_disorder
MONDO:0000413	infancy electroclinical syndrome	other	other	nervous_system_disorder
MONDO:0000414	childhood electroclinical syndrome	other	other	nervous_system_disorder
MONDO:0000415	adolescence-adult electroclinical syndrome	other	other	nervous_system_disorder
MONDO:0000421	inborn serine deficiency	metabolic_disease|hereditary_disease	metabolic_disease	hereditary_disease|metabolic_disease
MONDO:0000425	X-linked disease	hereditary_disease	other	hereditary_disease
MONDO:0000426	autosomal dominant disease	hereditary_disease	other	hereditary_disease
MONDO:0000428	Y-linked disease	hereditary_disease	other	hereditary_disease
MONDO:0000429	autosomal genetic disease	hereditary_disease	other	hereditary_disease
MONDO:0000430	mature T-cell and NK-cell non-Hodgkin lymphoma	cancer_or_benign_tumor	cancer_or_benign_tumor	cancer_or_benign_tumor|hematologic_disorder
MONDO:0000432	lymphoplasmacytic lymphoma	cancer_or_benign_tumor	cancer_or_benign_tumor	cancer_or_benign_tumor|immune_system_disorder|hematologic_disorder
MONDO:0000437	cerebellar ataxia	other	other	nervous_system_disorder
MONDO:0000440	metabolic acidosis	metabolic_disease	metabolic_disease	metabolic_disease
MONDO:0000446	midface dysplasia	disorder_of_development_or_morphogenesis	other	musculoskeletal_system_disorder|disorder_of_development_or_morphogenesis
MONDO:0000447	autosomal dominant polycystic liver disease	hereditary_disease|endocrine_system_disorder	endocrine_system_disorder	endocrine_system_disorder|hereditary_disease|digestive_system_disorder
MONDO:0000448	paraganglioma	hereditary_disease|endocrine_system_disorder|cancer_or_benign_tumor|disorder_of_development_or_morphogenesis	endocrine_system_disorder|cancer_or_benign_tumor	endocrine_system_disorder|hereditary_disease|cancer_or_benign_tumor|disorder_of_development_or_morphogenesis|nervous_system_disorder
MONDO:0000450	secondary progressive multiple sclerosis	disorder_of_development_or_morphogenesis	neurodegenerative_disease|autoimmune_disease	disorder_of_development_or_morphogenesis|nervous_system_disorder|immune_system_disorder
MONDO:0000451	primary progressive multiple sclerosis	disorder_of_development_or_morphogenesis	neurodegenerative_disease|autoimmune_disease	disorder_of_development_or_morphogenesis|nervous_system_disorder|immune_system_disorder
MONDO:0000452	progressive relapsing multiple sclerosis	disorder_of_development_or_morphogenesis	neurodegenerative_disease|autoimmune_disease	disorder_of_development_or_morphogenesis|nervous_system_disorder|immune_system_disorder
MONDO:0000453	short QT syndrome	hereditary_disease	cardiovascular_disorder	hereditary_disease|cardiovascular_disorder
MONDO:0000455	cone dystrophy	hereditary_disease	psychiatric_disorder	disorder_of_visual_system|psychiatric_disorder|disorder_of_orbital_region|hereditary_disease|nervous_system_disorder
MONDO:0000456	cerebral creatine deficiency syndrome	metabolic_disease|hereditary_disease	metabolic_disease	hereditary_disease|metabolic_disease
MONDO:0000457	classical glioblastoma	cancer_or_benign_tumor	cancer_or_benign_tumor	nervous_system_disorder|cancer_or_benign_tumor
MONDO:0000458	proneural glioblastoma	cancer_or_benign_tumor	cancer_or_benign_tumor	nervous_system_disorder|cancer_or_benign_tumor
MONDO:0000459	mesenchymal glioblastoma	cancer_or_benign_tumor	cancer_or_benign_tumor	nervous_system_disorder|cancer_or_benign_tumor
MONDO:0000460	neural glioblastoma	cancer_or_benign_tumor	cancer_or_benign_tumor	nervous_system_disorder|cancer_or_benign_tumor
MONDO:0000461	nutritional biotin deficiency	metabolic_disease|nutritional_disorder	metabolic_disease	metabolic_disease|nutritional_disorder
MONDO:0000462	eye adnexa disorder	other	other	disorder_of_orbital_region
MONDO:0000463	Ochoa syndrome	hereditary_disease	other	hereditary_disease
MONDO:0000465	atrioventricular block	hereditary_disease	cardiovascular_disorder	cardiovascular_disorder|hereditary_disease
MONDO:0000466	first-degree atrioventricular block	hereditary_disease	cardiovascular_disorder	hereditary_disease|cardiovascular_disorder
MONDO:0000467	second-degree atrioventricular block	hereditary_disease	cardiovascular_disorder	hereditary_disease|cardiovascular_disorder
MONDO:0000468	third-degree atrioventricular block	hereditary_disease	cardiovascular_disorder	cardiovascular_disorder|hereditary_disease
MONDO:0000469	sinoatrial node disorder	other	cardiovascular_disorder	cardiovascular_disorder|musculoskeletal_system_disorder
MONDO:0000470	endocardium disorder	other	cardiovascular_disorder	cardiovascular_disorder
MONDO:0000471	tricuspid valve disorder	other	cardiovascular_disorder	cardiovascular_disorder
MONDO:0000473	arterial disorder	other	cardiovascular_disorder	cardiovascular_disorder
MONDO:0000474	pericardium disorder	other	cardiovascular_disorder	cardiovascular_disorder
