category_class	label	definition	synonyms	subsets	crossreferences
MONDO:0002198	vulvar glandular neoplasm	A benign or malignant neoplasm that arises from the vulva and is composed of glandular epithelial cells. Representative examples include adenoma of the minor vestibular glands, Bartholin gland adenoma, and Bartholin gland adenocarcinoma.	vulvar glandular tumor; mammalian vulva glandular cell neoplasm; vulvar glandular neoplasm; vulvar glandular tumour		MEDGEN:276991; NCIT:C40292; UMLS:C1520082; DOID:2076
MONDO:0003861	vulvar eccrine adenocarcinoma	An eccrine adenocarcinoma that arises from the sweat glands in the vulva.	eccrine carcinoma of mammalian vulva; vulvar eccrine adenocarcinoma; mammalian vulva eccrine carcinoma	mondo:gard_rare; mondo:rare	MEDGEN:384495; NCIT:C40305; UMLS:C2202743; DOID:6339
MONDO:0001938	vulvar dystrophy	A non-neoplastic lesion that affects the vulva and is characterized by thinning or thickening of the skin and dryness.	dystrophy of vulva	mondo:otar	ICD9:624.0; MEDGEN:3942; NCIT:C34565; SCTID:51689003; DOID:14292; UMLS:C0013426; ICD9:624.09
MONDO:0002187	vulvar disease	A non-neoplastic or neoplastic disorder that affects the vulva. Representative examples include infection, Bartholin gland adenoma, and vulvar carcinoma.	disorder of vulva; vulvar disorder; vulvar disease	mondo:otar	UMLS:C0042994; DOID:2059; NCIT:C27631; SCTID:5089007; MESH:D014845; MEDGEN:53055
MONDO:0000643	vulvar benign neoplasm	A non-metastasizing neoplasm that arises from the vulva. Representative examples include cellular angiofibroma, melanocytic nevus, nodular hidradenoma, and Bartholin gland adenoma.	benign neoplasm of the vulva; benign tumour of vulva; benign vulvar tumour; benign vulvar neoplasm; benign tumor of the vulva; benign vulva tumor; benign vulva neoplasm; benign vulval neoplasm; mammalian vulva benign neoplasm; benign vulva tumour; benign vulvar tumor; benign neoplasm of vulva; benign tumour of the vulva; benign tumor of vulva; vulva benign neoplasm		NCIT:C3611; MEDGEN:102301; SCTID:92486005; DOID:0060109; UMLS:C0154003
MONDO:0005214	vulva sarcoma	A malignant mesenchymal neoplasm that arises from the vulva. Representative examples include childhood botryoid-type embryonal rhabdomyosarcoma, alveolar soft part sarcoma, and leiomyosarcoma.	vulvar sarcoma; mammalian vulva sarcoma; sarcoma of vulva; sarcoma of mammalian vulva	mondo:rare; mondo:gard_rare	UMLS:C0238525; NCIT:C40317; SCTID:254897006; DOID:2096; MEDGEN:65972
MONDO:0001528	vulva cancer	A primary or metastatic malignant neoplasm involving the vulva.	malignant mammalian vulva neoplasm; cancer of mammalian vulva; malignant tumour of the vulva; malignant neoplasm of the vulva; malignant vulvar tumor; malignant neoplasm of vulva, unspecified; malignant vulva tumour; malignant neoplasm of vulva unspecified; malignant tumor of vulva; vulvar cancer; malignant vulva neoplasm; malignant vulva tumor; malignant vulvar tumour; malignant vulvar neoplasm; mammalian vulva cancer; vulval cancer; malignant tumor of the vulva; malignant tumour of vulva; Ca vulva; malignant neoplasm of mammalian vulva; malignant neoplasm of vulva	mondo:otar	MEDGEN:91196; NCIT:C7502; SCTID:363367000; ICD9:184.4; DOID:1245; UMLS:C0375071; MESH:D014846
MONDO:0001377	vitreous syneresis		vitreous degeneration	mondo:otar	DOID:11816; SCTID:60189009; ICD9:379.21; UMLS:C0155366; MEDGEN:509938
MONDO:0004860	vitreous disorder	A disease involving the vitreous humor.	vitreous humor disease or disorder; vitreous humour disease or disorder; disease of vitreous humour; disease or disorder of vitreous humor; disease or disorder of vitreous humour; vitreous humour disease; vitreous humor disease; disorder of vitreous humour; disease of vitreous humor; disorder of vitreous humor		UMLS:C0700141; DOID:9720; MEDGEN:1843447; ICD9:379.24
MONDO:0044137	vitreous body disorder	Any disease affecting the vitreous body of the eye.	disorder of vitreous body; vitreous body disorder; disease of vitreous body; disease or disorder of vitreous body; vitreous body disease; vitreous body disease or disorder	mondo:otar	EFO:0008624; ICD9:379.29; UMLS:C0155365; MEDGEN:56361; NCIT:C45256; SCTID:76682005
MONDO:0008661	vitiligo	Generalized well circumscribed patches of leukoderma that are generally distributed over symmetric body locations and is due to autoimmune destruction of melanocytes.		mondo:otar	EFO:0004208; Orphanet:247871; ICD10CM:L80; DOID:12306; MEDGEN:22677; NCIT:C26915; MESH:D014820; ICD9:709.01; UMLS:C0042900
MONDO:0024298	vitamin deficiency disorder	A disorder that is caused by the deficiency of a vitamin. The deficiency may result from either suboptimal vitamin intake or conditions that prevent the vitamin's use or absorption in the body. Representative examples include beriberi caused by thiamine deficiency, scurvy caused by vitamin C deficiency, and rickets caused by vitamin D deficiency.	avitaminosis; vitamin deficiency; vitamin deficiency disorder	mondo:otar	NCIT:C35772; MEDGEN:267607; MESH:D001361; SCTID:85670002; UMLS:C1510471; ICD9:269.2; ICD9:269.1
MONDO:0024299	vitamin D-dependent rickets		VDDR	mondo:gard_rare; mondo:rare; mondo:otar	UMLS:C0221468; NANDO:2200401; NANDO:2100144; SCTID:68295002; DOID:0080883; MEDGEN:526251; NANDO:1200781
MONDO:0020696	vitamin B12 deficiency	A disease characterized by low serum levels of vitamin B12, either inherited or acquired.	hypocobalaminemia; vitamin b12 deficiency; cobalamin deficiency	mondo:otar	SCTID:190634004; EFO:0000734; ICD9:266.2; NCIT:C131684; MESH:D014806; UMLS:C0042847; MEDGEN:21880; HP:0100502
MONDO:0042976	vitamin B deficiency	A condition due to deficiency in any member of the vitamin B complex. These B vitamins are water-soluble and must be obtained from the diet because they are easily lost in the urine. Unlike the lipid-soluble vitamins, they cannot be stored in the body fat.		mondo:otar	MESH:D014804; UMLS:C0042850; SCTID:47903000; MEDGEN:22669; NCIT:C35129
MONDO:0001386	visual epilepsy	Clinical or subclinical disturbances of cortical function due to a sudden, abnormal, excessive, and disorganized discharge of brain cells. Clinical manifestations include abnormal motor, sensory and psychic phenomena. Recurrent seizures are usually referred to as epilepsy or 'seizure disorder.'	epilepsy, visual	mondo:rare; mondo:gard_rare	MESH:D012640; DOID:11832; MEDGEN:75723; UMLS:C0270824; SCTID:39194005; NCIT:C3980
MONDO:0000685	visual agnosia	An inability to recognize or interpret objects by sight.	visuoperceptual agnosia; visual agnosia; visual agnosia (disease)		UMLS:C0234502; MEDGEN:115959; NCIT:C35276; SCTID:25762009; DOID:0060155; HP:0030222
MONDO:0021084	vision disorder	Any impairment to the vision.	disorder of vision; vision disorder; visual disorder	mondo:otar	MESH:D014786; MedDRA:10047518; UMLS:C0042790; NCIT:C35126; SCTID:95677002; MEDGEN:12103
MONDO:0023961	visceral neuropathy, familial				OMIMPS:243180; UMLS:C0266834; MEDGEN:540202
MONDO:0020754	visceral myopathy 1		visceral myopathy; visceral myopathy 1	mondo:otar	MEDGEN:1785391; OMIM:155310; UMLS:C5542197
MONDO:0018677	visceral heterotaxy	A rare, genetic disorder in which symptoms are generally secondary to the abnormal location of the organs within the thoracic, abdominal, or peritoneal cavities. Anatomic and functional problems can include cardiac defects, intestinal malrotation leading to volvulus, biliary atresia, and various defects of the central nervous system, urinary tract, and skeleton.	incomplete situs inversus; partial situs inversus; heterotaxia syndrome; situs ambiguus; visceral heterotaxy; heterotaxia; heterotaxy syndrome; situs ambiguous; heterotaxy, visceral; lateralization defect	mondo:orphanet_rare; mondo:ordo_morphological_anomaly; mondo:rare; mondo:ordo_group_of_disorders; mondo:gard_rare; mondo:nord_rare; mondo:disease_grouping; mondo:ordo_disorder; mondo:otar	NCIT:C117273; Orphanet:157769; MedDRA:10059119; SCTID:14821001; DOID:0050545; MedDRA:10067265; GARD:10875; MEDGEN:465273; OMIMPS:306955; UMLS:C3178805; Orphanet:450
MONDO:0017341	virus associated tumor			mondo:gard_rare; mondo:ordo_group_of_disorders; mondo:rare; mondo:otar; mondo:disease_grouping	MEDGEN:1842723; GARD:21145; UMLS:C5681008; Orphanet:289635
MONDO:0021682	viral sexually transmitted disease	Viral diseases which are potentially transmitted or propagated by sexual conduct.	viral sexually transmitted disease		UMLS:C0036918; MEDGEN:48646; MESH:D015229
MONDO:0024352	viral respiratory tract infection	A respiratory tract infection caused by a virus. Viruses represent the most common causes of upper and lower respiratory tract infections and include rhinoviruses, influenza viruses, parainfluenza viruses, and respiratory syncytial virus.	viral respiratory tract infection	mondo:otar	SCTID:312133006; MEDGEN:163755; ICD9:519.8; UMLS:C0877203; NCIT:C27219
MONDO:0006012	viral pneumonia	Inflammation of the lung parenchyma that is caused by a viral infection.	Viruses caused pneumonia; Viruses pneumonia	mondo:otar	MEDGEN:45974; ICD9:480; EFO:0007541; ICD9:480.8; ICD9:480.9; MESH:D011024; SCTID:75570004; DOID:10533; UMLS:C0032310
MONDO:0007015	viral meningitis	Inflammation of the membranes surrounding the brain and spinal cord due to a viral infection.		mondo:gard_rare; mondo:otar; mondo:rare	MESH:D008587; ICD9:321.2; ICD10CM:A87; DOID:10310; UMLS:C0025297; EFO:1001236; MedDRA:10047469; ICD9:047.9; ICD9:047.8; SCTID:58170007; MEDGEN:44355; NCIT:C118298
MONDO:0005108	viral infectious disease	Any disease caused by a virus.	Viruses infectious disease; infection, viral; viral disorder; Viruses disease or disorder; viral disease; viral infection; Viruses infection; virus infection; Viruses caused disease or disorder	mondo:otar	ICD9:066.9; EFO:0000763; ICD9:060-066.99; SCTID:34014006; DOID:934; ICD9:079.99; ICD9:078.89; MESH:D014777; NCIT:C3439
MONDO:0024318	viral infection of central nervous system		viral infection of central nervous system	mondo:otar; mondo:rare; mondo:gard_rare	SCTID:302810003; UMLS:C0348165; MEDGEN:91141; MESH:D020805; ICD10CM:A80-A89; ICD10WHO:A80-A89
MONDO:0006011	viral hepatitis	An acute or chronic inflammation of the liver parenchyma caused by viruses. Representative examples include hepatitis A, B, and C, cytomegalovirus hepatitis, and herpes simplex hepatitis.	Viruses hepatitis; human viral hepatitis; Viruses caused hepatitis; viral human hepatitis; Hepatitis viral; viral Hepatitis	mondo:otar	DOID:1884; ICD10CM:B15-B19; MEDGEN:22652; UMLS:C0042721; MESH:D006525; EFO:0004196; SCTID:3738000; NCIT:C35124; ICD9:573.1
MONDO:0018087	viral hemorrhagic fever	A viral infectious disease caused by RNA viruses in the Arenaviridae, Bunyaviridae, Filoviridae, or Flaviviridae family, and characterized by a severe multisystem syndrome, with damage to the vascular system and hemorrhaging.	haemorrhagic fevers, viral; VHF; viral haemorrhagic fever; VHFs	mondo:rare; mondo:disease_grouping; mondo:gard_rare; mondo:ordo_group_of_disorders; mondo:nord_rare; mondo:otar	MESH:D006482; MEDGEN:9213; Orphanet:341; NCIT:C36170; UMLS:C0019104; GARD:5494; SCTID:240523007
MONDO:0002270	viral gastritis	Inflammation of the stomach resulting from viral infection.	Viruses gastritis (disease); Viruses caused gastritis (disease); viral gastritis		DOID:2327; SCTID:285344007; NCIT:C27184; MEDGEN:107873; UMLS:C0563238; ICD9:008.8
MONDO:0020950	viral eye infection	Infections of the eye caused by minute intracellular agents. These infections may lead to severe inflammation in various parts of the eye - conjunctiva, iris, eyelids, etc. Several viruses have been identified as the causative agents. Among these are Herpesvirus, Adenovirus, Poxvirus, and Myxovirus.	viral eye infection	mondo:otar	UMLS:C0015407; SCTID:312132001; MESH:D015828; MEDGEN:8753
MONDO:0006619	viral exanthem	A virus-induced exanthem		mondo:otar	EFO:1000776; MEDGEN:509133; DOID:8672; UMLS:C0153062; SCTID:49882001; ICD9:057.9; ICD9:057.8
MONDO:0006009	viral encephalitis	Encephalitis resulting from viral infection.	viral encephalitis; Viruses caused encephalitis; Viruses encephalitis	mondo:ordo_group_of_disorders; mondo:otar; mondo:gard_rare; mondo:rare; mondo:nord_rare	Orphanet:98252; UMLS:C0243010; MEDGEN:116719; EFO:0007538; GARD:19433; MedDRA:10058805; SCTID:34476008; DOID:646; NCIT:C35302
MONDO:0043541	viral conjunctivitis	Conjunctivitis resulting from viral infection.	viral conjunctivitis; Viruses caused conjunctivitis (disease); Viruses conjunctivitis (disease)	mondo:otar	MESH:D003236; EFO:0008571; MEDGEN:3212; NCIT:C34509; UMLS:C0009774; SCTID:45261009
MONDO:0021271	villous adenoma of colon	A villous adenoma that involves the colon.	colonic villous adenoma; villous adenoma of the colon; colon villous adenoma	mondo:otar	UMLS:C0149862; NCIT:C3495; SCTID:309084001; MEDGEN:56207
MONDO:0000502	villous adenoma	An epithelial neoplasm morphologically characterized by the presence of a villous architectural pattern. Most often it occurs in the large intestine, small intestine, and the stomach in which the neoplastic epithelial cells show dysplastic features. It may also arise in the urinary bladder, urethra, and vagina.	villous adenoma	mondo:otar	MEDGEN:60206; NCIT:C7399; DOID:0050869; MESH:D018253; ICDO:8261/0; UMLS:C0206674
MONDO:0003204	villous adenocarcinoma	An adenocarcinoma characterized by the presence of a villous architectural pattern. It may arise from a villous adenoma.	villous adenocarcinoma (morphologic abnormality); villous adenocarcinoma	mondo:otar	NCIT:C4142; ICDO:8262/3; DOID:4917; MEDGEN:137741; UMLS:C0334306
MONDO:0007014	vibrio infectious disease	Infections with bacteria of the genus vibrio.	Vibrio disease or disorder; Vibrio caused disease or disorder; vibrio infectious disease; Vibrio infectious disease	mondo:otar	MEDGEN:53010; MESH:D014735; EFO:1001235; UMLS:C0042636
MONDO:0021221	vestibulocochlear nerve neoplasm	A neoplasm (disease) that involves the vestibulocochlear nerve.	acoustic nerve tumor; neoplasm of the acoustic nerve; vestibulocochlear nerve neoplasms; eighth cranial nerve tumour; tumour of eighth cranial nerve; vestibulocochlear nerve tumour; acoustic nerve tumour; cranial nerve eight neoplasms; eighth cranial nerve neoplasms; tumour of the acoustic nerve; tumor of the vestibulocochlear nerve; Vestibuloacoustic nerve neoplasms; tumor of acoustic nerve; acoustic nerve neoplasm; tumor of the acoustic nerve; vestibulocochlear nerve neoplasm (disease); tumor of eighth cranial nerve; tumor of the eighth cranial nerve; vestibulocochlear nerve tumor; tumour of vestibulocochlear nerve; neoplasm of eighth cranial nerve; eighth cranial nerve tumor; neoplasm of acoustic nerve; eighth cranial nerve neoplasm; tumor of vestibulocochlear nerve; tumour of the vestibulocochlear nerve; neoplasm of vestibulocochlear nerve; tumour of the eighth cranial nerve; neoplasm of the vestibulocochlear nerve; tumour of acoustic nerve; neoplasm of the eighth cranial nerve		SCTID:387891008; UMLS:C0346330; MEDGEN:91099; NCIT:C5120
MONDO:0001563	vestibulocochlear nerve disorder	A disease involving the vestibulocochlear nerve.	disorder of vestibulocochlear nerve; disease or disorder of vestibulocochlear nerve; disease of vestibulocochlear nerve; vestibulocochlear nerve disease or disorder; vestibulocochlear nerve disease; disorder of acoustic nerve; acoustic nerve disorder; acoustic nerve disorder NOS; acoustic nerve disease; vestibulocochlear nerve disorder	mondo:otar	ICD9:388.5; NCIT:C27207; UMLS:C0001163; SCTID:77949003; MESH:D000160; MEDGEN:1724; DOID:12657
MONDO:0002194	vestibular papilloma	A benign papillary neoplasm that arises from the vulva and is characterized by the presence of a delicate fibrovascular stalk lined by squamous epithelium. There is no evidence of epithelial atypia.	vestibular papilloma; mammalian vulva squamous papilloma; vulvar squamous papilloma		NCIT:C6376; DOID:2071; MEDGEN:277874; UMLS:C1336982
MONDO:0000626	vestibular gland benign neoplasm	A benign neoplasm that involves the vestibular gland.	vestibular gland benign neoplasm		DOID:0060088
MONDO:0002643	vestibular disorder	Pathological processes of the vestibular labyrinth which contains part of the balancing apparatus. Patients with vestibular diseases show instability and are at risk of frequent falls.	disease of vestibular labyrinth; vestibular labyrinth disease; vestibular system disease; disorder of vestibular labyrinth; vertigo, vestibular disorder; vestibular labyrinth disease or disorder; disease of vestibular system; disease or disorder of vestibular labyrinth	mondo:rare; mondo:otar; mondo:gard_rare	EFO:0009691; MEDGEN:12079; DOID:3426; MESH:D015837; UMLS:C0042594
MONDO:0006617	vesiculobullous skin disease	Skin diseases characterized by local or general distributions of blisters. They are classified according to the site and mode of blister formation. Lesions can appear spontaneously or be precipitated by infection, trauma, or sunlight. Etiologies include immunologic and genetic factors. (From Scientific American Medicine, 1990)	vesiculobullous skin disease	mondo:otar	DOID:2731; MESH:D012872; UMLS:C0037275; MEDGEN:20778; EFO:1000774
MONDO:0004767	vesiculitis	An inflammatory disease involving a pathogenic inflammatory response in the seminal vesicle.	seminal vesicle inflammation; inflammation of seminal vesicle; seminal vesiculitis; seminal Sacs; seminal vesicles; gland, seminal vesicle; seminal vesicle		MEDGEN:508285; NCIT:C12787; UMLS:C0042588; DOID:9365; SCTID:27001009; ICD9:608.0
MONDO:0006007	vesicoureteral reflux	Abnormal flow of urine from the urinary bladder back into the ureters.	vesicoureteral reflux; vesico-ureteral reflux; vesicoureteral reflux (disease)	mondo:otar	NANDO:2200179; ICD9:593.7; EFO:0007536; SCTID:197811007; MESH:D014718; MEDGEN:21852; HP:0000076; DOID:9620; UMLS:C0042580
MONDO:0037847	vertebral joint disorder	A disease that involves the intervertebral joint.	disorder of intervertebral joint; disorder of joint of spine; disease or disorder of intervertebral joint; intervertebral joint disease or disorder; intervertebral joint disease; disease of intervertebral joint	mondo:otar	SCTID:372109003; EFO:0009477
MONDO:0045002	vertebral disorder	A disease or disorder that involves the vertebra.	disease of vertebra; disorder of vertebra; disease or disorder of vertebra; vertebra disease; vertebra disease or disorder	mondo:otar	UMLS:C2316319; MEDGEN:747221; SCTID:430886005
MONDO:0000812	vertebral column disorder	A disease involving the vertebral column.	disease of vertebral column; disease of spine; vertebral column disease or disorder; disorder of vertebral column; vertebral column disease; disease or disorder of vertebral column	mondo:otar	MEDGEN:52455; ICD9:724.9; UMLS:C0037933; MESH:D013122; SCTID:699699005; DOID:0060564
MONDO:0006006	verrucous carcinoma	A well differentiated squamous cell carcinoma characterized by a papillary growth pattern, acanthosis, mild cytologic atypia, and pushing tumor margins. The most commonly affected anatomic sites are the oral cavity, nasal cavity, larynx, esophagus, anus, vagina, vulva, and the plantar region of the foot.	verrucous epidermoid carcinoma; verrucous epidermoid cell carcinoma; verrucous carcinoma; verrucous squamous cell carcinoma; verrucous squamous carcinoma; verrucous carcinoma NOS (morphologic abnormality)	mondo:otar	MESH:D018289; NCIT:C3781; DOID:3737; EFO:0007535; ICDO:8051/3; UMLS:C0206706; MEDGEN:60213; SCTID:403904009; ICD9:199.1
MONDO:0008648	ventricular tachycardia, familial	An instance of ventricular tachycardia that is caused by an inherited modification of the individual's genome.	ventricular tachycardia, familial; ventricular tachycardia, idiopathic; hereditary ventricular tachycardia	mondo:gard_rare; mondo:otar; mondo:nord_rare; mondo:rare	OMIM:192605; GARD:2263; UMLS:C0340485; MEDGEN:83309; SCTID:233906007
MONDO:0002070	ventricular septal defect	The presence of a defect (opening) in the septum that separates the two ventricles of the heart. It can be congenital or acquired.	VSD; interventricular communication; interventricular septal defect; ventricular septal abnormality; ventricular septal defect (disease); ventricular septal defect	mondo:otar	NANDO:2200270; NCIT:C84506; SCTID:30288003; OMIMPS:614429; Orphanet:1480; HP:0001629; ICD9:745.4; MEDGEN:42366; UMLS:C0018818; NANDO:2100087; DOID:1657; MESH:D006345
MONDO:0000190	ventricular fibrillation	A disorder characterized by an electrocardiographic finding of a rapid grossly irregular ventricular rhythm with marked variability in QRS cycle length, morphology, and amplitude. The rate is typically greater than 300 bpm. (CDISC)	VFib; fibrillation, ventricular; ventricular fibrillation; VF; ventricular fibrillation (disease)	mondo:otar	UMLS:C0042510; EFO:0004287; NCIT:C50799; HP:0001663; NANDO:2100052; MESH:D014693; MEDGEN:21844; SCTID:71908006; ICD9:427.41; NANDO:2200227
MONDO:0000945	venous insufficiency	Impaired venous blood flow or venous return (venous stasis), usually caused by inadequate venous valves. Venous insufficiency often occurs in the legs, and is associated with edema and sometimes with venous stasis ulcers at the ankle.	venous insufficiency (disease); venous insufficiency	mondo:otar	UMLS:C0042485; HP:0005293; SCTID:20696009; MESH:D014689; DOID:10128; MEDGEN:21841; ICD9:459.81
MONDO:0004634	vein disorder	A disease involving the vein.	disease of vein; vein disease or disorder; disorder of vein; vein disease; disease or disorder of vein	mondo:otar	ICD9:453; UMLS:C0235522; SCTID:90507008; DOID:866; MEDGEN:115992; NCIT:C35279
MONDO:0100120	vector-borne disease	An infectious disease where a pathogen is carried and transmitted by another organism that acts as disease vector.	vector-borne infectious disease; vector-borne infection	mondo:otar	MESH:D000079426; MEDGEN:738484; UMLS:C1640363
MONDO:0018882	vasculitis	Vasculitis represents a clinically heterogenous group of diseases of multifactorial etiology characterized by inflammation of either large-sized vessels (large-vessel vasculitis, e.g. Giant-cell arteritis and Takayasu arteritis), medium-sized vessels (medium-vessel vasculitis e.g. polyarteritis nodosa and Kawasaki disease), or small-sized vessels (small-vessel vasculitis, e.g. granulomatosis with polyangiitis, microscopic polyangiitis, immunoglobulin A vasculitis, and cutaneous leukocytoclastic angiitis). Vasculitis occurs at any age, may be acute or chronic, and manifests with general symptoms such as fever, weight loss and fatigue, as well as more specific clinical signs depending on the type of vessels and organs affected. The degree of severity is variable, ranging from life or sight threatening disease (e.g. Behcet disease) to relatively minor skin disease.		mondo:disease_grouping; mondo:rare; mondo:ordo_group_of_disorders; mondo:gard_rare; mondo:otar	MedDRA:10036023; DOID:865; SCTID:31996006; GARD:18844; Orphanet:52759; MedDRA:10047115; Wikipedia:Vasculitis; MESH:D014657; NCIT:C26912; MEDGEN:12054; icd11.foundation:572581721; UMLS:C0042384; EFO:0006803
